,0
1942,1261
1943,4257
1944,3583
1945,1638
1946,1279
1947,9356
1948,6716
1949,8737
1950,4750
1951,4785
1952,9286
1953,3667
1954,1431
1955,6898
1956,4399
1957,5638
1958,4050
1959,3515
1960,1102
1961,498
1962,6145
1963,537
1964,4063
1965,7284
1966,10434
1967,7460
1968,8619
1969,9282
1970,2809
1971,873
1972,8164
1973,8621
1974,10212
1975,9064
1976,4925
1977,1181
1978,2963
1979,9708
1980,210
1981,377
1982,2475
1983,5029
1984,5871
1985,3718
1986,5434
1987,762
1988,6801
1989,9594
1990,9240
1991,6162
1992,6510
1993,6860
1994,5544
1995,9610
1996,6035
1997,1827
1998,8211
1999,8904
2000,9622
2001,1662
2002,2404
2003,10768
2004,6069
2005,4306
2006,1073
2007,803
2008,243
2009,9765
2010,6715
2011,6504
2012,7003
2013,3554
2014,6397
2015,10207
2016,4036
2017,7762
2018,4429
2019,5114
2020,3062
2021,8753
2022,7936
2023,10231
2024,2121
2025,8870
2026,3906
2027,3061
2028,4542
2029,1291
2030,6370
2031,871
2032,5016
2033,7320
2034,10772
2035,8253
2036,6117
2037,2915
2038,4663
2039,3954
2040,8985
2041,1064
2042,2059
2043,6868
2044,9281
2045,4207
2046,133
2047,4355
2048,8039
2049,6258
2050,10345
2051,10119
2052,4265
2053,8027
2054,9754
2055,8217
2056,3584
2057,122
2058,2167
2059,9530
2060,5446
2061,6615
2062,7646
2063,2239
2064,4974
2065,4035
2066,1939
2067,4436
2068,3066
2069,2497
2070,10388
2071,10314
2072,2595
2073,8710
2074,9703
2075,7761
2076,9865
2077,3827
2078,5984
2079,4311
2080,5335
2081,1436
2082,4747
2083,7131
2084,9922
2085,3604
2086,1586
2087,2466
2088,8252
2089,455
2090,3920
2091,3713
2092,3131
2093,4193
2094,6369
2095,3230
2096,8867
2097,6437
2098,2412
2099,3965
2100,3552
2101,3125
2102,4352
2103,6024
2104,8555
2105,10519
2106,5655
2107,5751
2108,6872
2109,3592
2110,98
2111,10673
2112,4952
2113,9011
2114,5140
2115,6899
2116,910
2117,5840
2118,2345
2119,8807
2120,9580
2121,9840
2122,331
2123,7826
2124,6398
2125,8152
2126,4843
2127,8671
2128,10273
2129,1150
2130,4832
2131,10168
2132,8292
2133,3205
2134,8314
2135,3473
2136,1462
2137,9325
2138,845
2139,6013
2140,6063
2141,8389
2142,3353
2143,7240
2144,1220
2145,2531
2146,2520
2147,4779
2148,4367
2149,223
2150,6239
2151,9177
2152,4023
2153,9146
2154,6202
2155,4268
2156,8146
2157,6036
2158,69
2159,4593
2160,8547
2161,7637
2162,7817
2163,3060
2164,5173
2165,7066
2166,6432
2167,3690
2168,5141
2169,3461
2170,4885
2171,1119
2172,3070
2173,552
2174,10547
2175,4131
2176,7601
